"Wavelength, µm","n","k"
12.066,1.0003,0.78837
12.251,0.9355,0.83374
12.439,0.86856,0.90637
12.63,0.80913,1.0037
12.824,0.76322,1.1207
13.021,0.73326,1.2526
13.221,0.71975,1.3962
13.424,0.72305,1.5509
13.63,0.74504,1.7179
13.839,0.79079,1.9
14.051,0.87152,2.1002
14.267,1.0104,2.3172
14.486,1.2494,2.5262
14.708,1.6202,2.6263
14.934,1.9791,2.469
15.163,2.0723,2.2094
15.396,2.0132,2.1118
15.632,1.9983,2.1518
15.872,2.0771,2.2222
16.116,2.2249,2.2513
16.363,2.3921,2.2065
16.614,2.5259,2.0934
16.869,2.5942,1.9478
17.128,2.5966,1.8113
17.391,2.5536,1.7108
17.658,2.4899,1.6553
17.929,2.4263,1.6425
18.204,2.3776,1.6641
18.484,2.3536,1.7086
18.768,2.359,1.7632
19.056,2.3937,1.8148
19.348,2.4524,1.8515
19.645,2.5258,1.8645
19.947,2.6017,1.8504
20.253,2.6679,1.8113
20.564,2.7152,1.7545
20.879,2.7393,1.6897
21.2,2.7408,1.6262
21.525,2.7233,1.5708
21.856,2.6915,1.5278
22.191,2.6505,1.499
22.532,2.6045,1.4846
22.877,2.5567,1.4842
23.229,2.51,1.4964
23.585,2.4661,1.5201
23.947,2.4266,1.5538
24.315,2.3927,1.5963
24.688,2.365,1.6461
25.067,2.3442,1.7021
25.452,2.3306,1.763
25.842,2.3244,1.8279
26.239,2.3257,1.8956
26.642,2.3344,1.9653
27.051,2.3506,2.0362
27.466,2.374,2.1074
27.887,2.4044,2.1784
28.315,2.4416,2.2485
28.75,2.4855,2.3171
29.191,2.5357,2.3837
29.639,2.5921,2.4478
30.094,2.6544,2.509
30.556,2.7222,2.5666
31.025,2.7953,2.6203
31.501,2.8734,2.6697
31.985,2.956,2.7141
32.476,3.0428,2.7533
32.974,3.1332,2.7869
33.48,3.2268,2.8144
33.994,3.3229,2.8355
34.516,3.4209,2.85
35.046,3.5202,2.8578
35.584,3.62,2.8586
36.13,3.7197,2.8525
36.684,3.8184,2.8396
37.248,3.9156,2.82
37.819,4.0104,2.7939
38.4,4.1023,2.7619
38.989,4.1907,2.7243
39.588,4.2752,2.6815
40.195,4.3552,2.6343
40.812,4.4305,2.5831
41.439,4.5008,2.5285
42.075,4.5661,2.4713
42.72,4.6262,2.4119
43.376,4.6813,2.351
44.042,4.7313,2.2891
44.718,4.7764,2.2267
45.404,4.8169,2.1641
46.101,4.853,2.1019
46.809,4.8849,2.0402
47.527,4.9129,1.9795
48.257,4.9373,1.9199
48.997,4.9584,1.8617
49.749,4.9764,1.8049
50.513,4.9916,1.7498
51.288,5.0043,1.6963
52.076,5.0147,1.6445
52.875,5.023,1.5945
53.686,5.0295,1.5463
54.51,5.0344,1.4998
55.347,5.0378,1.4551
56.197,5.0399,1.4121
57.059,5.0409,1.3708
57.935,5.0409,1.3311
58.824,5.0399,1.293
59.727,5.0383,1.2564
60.644,5.0359,1.2213
61.575,5.033,1.1877
62.52,5.0296,1.1554
63.479,5.0258,1.1244
64.454,5.0216,1.0947
65.443,5.0172,1.0662
66.447,5.0125,1.0388
67.467,5.0075,1.0125
68.503,5.0025,0.98732
69.554,4.9973,0.9631
70.622,4.992,0.93983
71.706,4.9866,0.91748
72.806,4.9812,0.896
73.924,4.9758,0.87535
75.059,4.9703,0.85549
76.211,4.9649,0.83638
77.38,4.9595,0.818
78.568,4.9542,0.8003
79.774,4.9489,0.78327
80.999,4.9436,0.76686
82.242,4.9385,0.75105
83.504,4.9334,0.73581
84.786,4.9284,0.72112
86.087,4.9234,0.70695
87.408,4.9186,0.69329
88.75,4.9138,0.68011
90.112,4.9092,0.66739
91.495,4.9046,0.65511
92.9,4.9001,0.64325
94.326,4.8958,0.6318
95.773,4.8915,0.62073
97.243,4.8873,0.61004
98.736,4.8832,0.59971
100.25,4.8793,0.58973
101.79,4.8754,0.58008
103.35,4.8716,0.57074
104.94,4.8679,0.56172
106.55,4.8643,0.55299
108.19,4.8608,0.54455
109.85,4.8574,0.53638
111.53,4.8541,0.52848
113.24,4.8508,0.52084
114.98,4.8477,0.51345
116.75,4.8446,0.50629
118.54,4.8417,0.49937
120.36,4.8388,0.49267
122.21,4.836,0.48619
124.08,4.8332,0.47993
125.99,4.8306,0.47386
127.92,4.828,0.468
129.88,4.8255,0.46233
131.88,4.823,0.45684
133.9,4.8207,0.45154
135.96,4.8184,0.44642
138.04,4.8161,0.44146
140.16,4.8139,0.43668
142.31,4.8118,0.43205
144.5,4.8098,0.42759
146.71,4.8078,0.42328
148.97,4.8059,0.41913
151.25,4.804,0.41512
153.57,4.8022,0.41126
155.93,4.8005,0.40754
158.33,4.7988,0.40395
160.76,4.7971,0.4005
163.22,4.7955,0.39719
165.73,4.7939,0.394
168.27,4.7924,0.39094
170.85,4.791,0.38801
173.48,4.7896,0.3852
176.14,4.7882,0.38251
178.84,4.7869,0.37993
181.59,4.7856,0.37748
184.38,4.7843,0.37513
187.21,4.7831,0.3729
190.08,4.782,0.37079
193,4.7808,0.36877
195.96,4.7798,0.36687
198.97,4.7787,0.36508
202.02,4.7777,0.36338
205.12,4.7767,0.3618
208.27,4.7757,0.36031
211.47,4.7748,0.35892
214.71,4.7739,0.35764
218.01,4.7731,0.35645
221.35,4.7722,0.35536
224.75,4.7714,0.35437
228.2,4.7707,0.35347
231.7,4.7699,0.35267
235.26,4.7692,0.35196
238.87,4.7685,0.35134
242.54,4.7678,0.35082
246.26,4.7672,0.35039
250.04,4.7666,0.35005
253.88,4.766,0.3498
257.77,4.7654,0.34964
261.73,4.7649,0.34957
265.75,4.7643,0.34959
269.83,4.7638,0.3497
273.97,4.7633,0.3499
278.17,4.7629,0.35019
282.44,4.7624,0.35056
286.78,4.762,0.35103
291.18,4.7616,0.35158
295.65,4.7612,0.35222
300.19,4.7609,0.35294
304.79,4.7605,0.35375
309.47,4.7602,0.35465
314.22,4.7599,0.35564
319.05,4.7596,0.35671
323.94,4.7594,0.35787
328.92,4.7591,0.35912
333.96,4.7589,0.36045
339.09,4.7586,0.36187
344.29,4.7584,0.36338
349.58,4.7583,0.36498
354.94,4.7581,0.36666
360.39,4.7579,0.36843
365.92,4.7578,0.37029
371.54,4.7577,0.37224
377.24,4.7576,0.37427
383.03,4.7575,0.3764
388.91,4.7574,0.37861
394.88,4.7574,0.38092
400.94,4.7573,0.38331
407.1,4.7573,0.3858
413.35,4.7573,0.38837
419.69,4.7573,0.39104
426.13,4.7573,0.3938
432.67,4.7573,0.39665
439.31,4.7574,0.39959
446.06,4.7575,0.40263
452.9,4.7575,0.40576
459.85,4.7576,0.40898
466.91,4.7577,0.4123
474.08,4.7579,0.41572
481.36,4.758,0.41923
488.74,4.7582,0.42284
496.25,4.7584,0.42655
503.86,4.7586,0.43036
511.6,4.7588,0.43426
519.45,4.759,0.43827
527.42,4.7592,0.44238
535.52,4.7595,0.44658
543.74,4.7598,0.4509
552.08,4.7601,0.45531
560.56,4.7604,0.45983
569.16,4.7607,0.46445
577.9,4.7611,0.46918
586.77,4.7614,0.47402
595.77,4.7618,0.47897
604.92,4.7622,0.48402
614.2,4.7627,0.48919
623.63,4.7631,0.49447
633.2,4.7636,0.49985
642.92,4.7641,0.50536
652.79,4.7646,0.51097
662.81,4.7651,0.51671
672.98,4.7657,0.52255
683.31,4.7662,0.52852
693.8,4.7668,0.53461
704.45,4.7675,0.54081
715.26,4.7681,0.54714
726.24,4.7688,0.55359
737.38,4.7695,0.56017
748.7,4.7702,0.56687
760.19,4.771,0.57369
771.86,4.7717,0.58065
783.71,4.7725,0.58773
795.74,4.7734,0.59495
807.95,4.7742,0.6023
820.35,4.7751,0.60978
832.95,4.7761,0.61739
845.73,4.777,0.62514
858.71,4.778,0.63303
871.89,4.779,0.64106
885.27,4.7801,0.64923
898.86,4.7812,0.65755
912.66,4.7823,0.666
926.67,4.7834,0.67461
940.89,4.7846,0.68336
955.33,4.7859,0.69225
969.99,4.7872,0.7013
984.88,4.7885,0.7105
1000,4.7898,0.71986
