"Wavelength, µm","n","k"
0.856,2.107589,0
0.858,2.107437,0
0.86,2.107286,0
0.862,2.107136,0
0.864,2.106987,0
0.866,2.106839,0
0.868,2.106692,0
0.87,2.106547,0
0.872,2.106402,0
0.874,2.106259,0
0.876,2.106116,0
0.878,2.105975,0
0.88,2.105834,0
0.882,2.105695,0
0.884,2.105557,0
0.886,2.105419,0
0.888,2.105283,0
0.89,2.105147,0
0.892,2.105013,0
0.894,2.104879,0
0.896,2.104747,0
0.898,2.104615,0
0.9,2.104484,0
0.902,2.104354,0
0.904,2.104225,0
0.906,2.104097,0
0.908,2.10397,0
0.91,2.103844,0
0.912,2.103718,0
0.914,2.103594,0
0.916,2.10347,0
0.918,2.103347,0
0.92,2.103225,0
0.922,2.103104,0
0.924,2.102984,0
0.926,2.102864,0
0.928,2.102746,0
0.93,2.102628,0
0.932,2.102511,0
0.934,2.102394,0
0.936,2.102279,0
0.938,2.102164,0
0.94,2.10205,0
0.942,2.101937,0
0.944,2.101824,0
0.946,2.101713,0
0.948,2.101602,0
0.95,2.101491,0
0.952,2.101382,0
0.954,2.101273,0
0.956,2.101165,0
0.958,2.101057,0
0.96,2.100951,0
0.962,2.100845,0
0.964,2.100739,0
0.966,2.100635,0
0.968,2.100531,0
0.97,2.100428,0
0.972,2.100325,0
0.974,2.100223,0
0.976,2.100122,0
0.978,2.100021,0
0.98,2.099921,0
0.982,2.099822,0
0.984,2.099723,0
0.986,2.099625,0
0.988,2.099528,0
0.99,2.099431,0
0.992,2.099334,0
0.994,2.099239,0
0.996,2.099144,0
0.998,2.099049,0
1,2.098955,0
1.002,2.098862,0
1.004,2.098769,0
1.006,2.098677,0
1.008,2.098586,0
1.01,2.098495,0
1.012,2.098404,0
1.014,2.098315,0
1.016,2.098225,0
1.018,2.098136,0
1.02,2.098048,0
1.022,2.097961,0
1.024,2.097873,0
1.026,2.097787,0
1.028,2.097701,0
1.03,2.097615,0
1.032,2.09753,0
1.034,2.097446,0
1.036,2.097362,0
1.038,2.097278,0
1.04,2.097195,0
